Categories,Calm,Under 2km/h, 02 to 05km/h, 05 to  10km/h,10 to 15km/h,15 to 20km/h,20 to 30km/h,Over  30km/h
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNE,0.0,12.3,7.14,0.0,0.0,0.0,0.0,0.0
NE,0.0,37.3,22.22,0.0,0.0,0.0,0.0,0.0
ENE,0.0,12.7,3.17,0.0,0.0,0.0,0.0,0.0
E,0.0,4.37,0.0,0.0,0.0,0.0,0.0,0.0
ESE,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
SE,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
SSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
